timestamp,eua_eur,eua_usd,eua_vlsfo_usd_mt,eua_mgo_usd_mt,eua_hfo_usd_mt
23/08/2025 19:01,72.53,85.02,187.53,190.8,185.33
24/08/2025 02:07,72.53,85.02,187.53,190.8,185.33
24/08/2025 08:28,72.53,85.02,187.53,190.8,185.33
24/08/2025 16:27,72.53,85.02,187.53,190.8,185.33
25/08/2025 02:01,72.53,85.02,187.53,190.8,185.33
25/08/2025 08:34,72.53,85.02,187.53,190.8,185.33
25/08/2025 16:31,72.53,85.02,187.53,190.8,185.33
26/08/2025 01:57,72.21,83.86,184.98,188.21,182.81
26/08/2025 12:28,72.21,83.86,184.98,188.21,182.81
26/08/2025 18:18,72.21,83.86,184.98,188.21,182.81
27/08/2025 01:01,72.28,84.19,185.7,188.94,183.52
27/08/2025 06:19,72.28,84.19,185.7,188.94,183.52
27/08/2025 12:26,72.28,84.19,185.7,188.94,183.52
27/08/2025 18:18,72.28,84.19,185.7,188.94,183.52
28/08/2025 01:00,72.61,84.58,186.56,189.81,184.37
28/08/2025 06:20,72.61,84.58,186.56,189.81,184.37
28/08/2025 12:26,72.61,84.58,186.56,189.81,184.37
28/08/2025 18:18,72.61,84.58,186.56,189.81,184.37
29/08/2025 01:00,71.83,83.88,185.01,188.24,182.84
29/08/2025 06:19,71.83,83.88,185.01,188.24,182.84
29/08/2025 12:25,71.83,83.88,185.01,188.24,182.84
29/08/2025 18:18,71.83,83.88,185.01,188.24,182.84
30/08/2025 00:57,71.83,83.88,185.01,188.24,182.84
30/08/2025 06:17,71.83,83.88,185.01,188.24,182.84
30/08/2025 12:22,71.83,83.88,185.01,188.24,182.84
30/08/2025 18:16,71.83,83.88,185.01,188.24,182.84
31/08/2025 01:04,71.83,83.88,185.01,188.24,182.84
31/08/2025 06:17,71.83,83.88,185.01,188.24,182.84
31/08/2025 12:23,71.83,83.88,185.01,188.24,182.84
31/08/2025 18:16,71.83,83.88,185.01,188.24,182.84
01/09/2025 01:11,71.83,83.88,185.01,188.24,182.84
01/09/2025 06:21,72.33,84.51,186.4,189.66,184.22
